OperatorID;Room1;Room2;TravelTime
1;034A04DK 4;044A05DK 4;9
1;044A05DK 4;044A04DK 4;5
1;044A04DK 4;044A04DK 5;5
1;044A04DK 5;044A04DK 6;6
1;044A04DK 6;054A04DK 6;12
1;054A04DK 6;053A02DK 6;33
1;053A02DK 6;054A04DK 6;33
1;054A04DK 6;054A04DK 5;15
1;054A04DK 5;054A04DK 6;15
1;054A04DK 6;044A04DK 6;12
1;044A04DK 6;044A04DK 7;7
1;044A04DK 7;044A04DK 8;7
1;044A04DK 8;044A04DK 9;7
1;044A04DK 9;044A04DK 10;6
1;044A04DK 10;044A04DK 11;6
1;044A04DK 11;044A04DK 12;6
1;044A04DK 12;044A04DK 13;6
1;044A04DK 13;044A04DK 14;6
1;044A04DK 14;144A01DK 14;11
1;144A01DK 14;044A04DK 14;11
1;044A04DK 14;044A04DK 13;6
1;044A04DK 13;044A04DK 12;6
1;044A04DK 12;044A04DK 11;6
1;044A04DK 11;044A04DK 10;6
1;044A04DK 10;044A04DK 9;6
1;044A04DK 9;044A04DK 8;7
1;044A04DK 8;044A04DK 7;7
1;044A04DK 7;044A04DK 6;7
1;044A04DK 6;044A04DK 5;6
1;044A04DK 5;044A04DK 4;5
1;044A04DK 4;044A05DK 4;5
1;044A05DK 4;034A04DK 4;9
1;034A04DK 4;044A29DK 4;9
1;044A29DK 4;024A06DK 4;5
1;024A06DK 4;024A06DK 3;7
1;024A06DK 3;024A06DK 2;7
1;024A06DK 2;024A05DK 2;7
1;024A05DK 2;014A20DK 2;11
1;014A20DK 2;014A20DK 1;17
1;014A20DK 1;014A09DK 1;10
1;014A09DK 1;014A05DK 1;9
1;014A05DK 1;014A03DK 1;8
1;014A03DK 1;014A01DK 1;8
1;014A01DK 1;013A10DK 1;2
1;013A10DK 1;013A10DK 2;24
1;013A10DK 2;013A10DK 1;24
1;013A10DK 1;014A01DK 1;2
1;014A01DK 1;014A01DK 2;37
1;014A01DK 2;014A01_1DK 3;27
1;014A01_1DK 3;014A01DK 2;27
1;014A01DK 2;014A01DK 3;21
1;014A01DK 3;014A02DK 3;7
1;014A02DK 3;014A02DK 4;15
1;014A02DK 4;044A05DK 4;7
1;044A05DK 4;044A04DK 4;5
1;044A04DK 4;044A04DK 5;5
1;044A04DK 5;054A04DK 5;9
1;054A04DK 5;054A12DK 5;29
1;054A12DK 5;054A06DK 5;12
