OperatorID;Room1;Room2;TravelTime
1;034A04DK 4;044A29DK 4;9
1;044A29DK 4;024A06DK 4;5
1;024A06DK 4;025A02DK 4;13
1;025A02DK 4;025A02DK 5;9
1;025A02DK 5;055A04DK 5;2
1;055A04DK 5;055A05DK 5;15
1;055A05DK 5;055A04DK 5;15
1;055A04DK 5;025A02DK 5;2
1;025A02DK 5;025A02DK 6;11
1;025A02DK 6;025A02DK 7;11
1;025A02DK 7;025A02DK 8;11
1;025A02DK 8;025A02DK 9;11
1;025A02DK 9;025A02DK 10;10
1;025A02DK 10;025A02DK 11;10
1;025A02DK 11;115A01DK 11;24
1;115A01DK 11;055A05DK 11;11
1;055A05DK 11;115A01DK 11;11
1;115A01DK 11;025A02DK 11;24
1;025A02DK 11;025A02DK 10;10
1;025A02DK 10;025A02DK 9;10
1;025A02DK 9;094A02DK 9;21
1;094A02DK 9;094A08DK 9;13
1;094A08DK 9;094A01DK 9;26
1;094A01DK 9;044A04DK 9;11
1;044A04DK 9;044A04DK 10;6
1;044A04DK 10;104A06DK 10;3
1;104A06DK 10;094A08DK 10;10
1;094A08DK 10;104A06DK 10;10
1;104A06DK 10;044A04DK 10;3
1;044A04DK 10;044A04DK 11;6
1;044A04DK 11;044A04DK 12;6
1;044A04DK 12;044A04DK 13;6
1;044A04DK 13;044A04DK 14;6
1;044A04DK 14;044A04DK 15;6
1;044A04DK 15;044A04DK 16;6
1;044A04DK 16;044A04DK 18;6
1;044A04DK 18;044A04DK 19;7
1;044A04DK 19;194A02DK 19;3
1;194A02DK 19;094A08DK 19;4
1;094A08DK 19;194A02DK 19;4
1;194A02DK 19;044A04DK 19;3
1;044A04DK 19;044A04DK 18;7
1;044A04DK 18;044A04DK 16;6
1;044A04DK 16;044A04DK 15;6
1;044A04DK 15;044A04DK 14;6
1;044A04DK 14;144A01DK 14;11
1;144A01DK 14;143A01DK 14;34
1;143A01DK 14;043A14DK 14;8
1;043A14DK 14;043A14DK 13;5
1;043A14DK 13;043A14DK 12;5
1;043A14DK 12;043A14DK 11;5
1;043A14DK 11;043A14DK 10;5
1;043A14DK 10;043A14DK 9;5
1;043A14DK 9;093A09DK 9;3
1;093A09DK 9;093A08DK 9;7
1;093A08DK 9;093A09DK 9;7
1;093A09DK 9;043A14DK 9;3
1;043A14DK 9;043A14DK 8;7
1;043A14DK 8;043A14DK 7;7
1;043A14DK 7;043A14DK 6;6
1;043A14DK 6;043A14DK 5;6
1;043A14DK 5;043A14DK 4;6
1;043A14DK 4;043A03DK 4;15
1;043A03DK 4;032A14DK 4;12
1;032A14DK 4;032A04DK 4;22
1;032A04DK 4;041A17DK 4;15
1;041A17DK 4;031A28_1DK 4;13
1;031A28_1DK 4;041A17DK 4;13
1;041A17DK 4;032A04DK 4;15
1;032A04DK 4;032A14DK 4;22
1;032A14DK 4;043A03DK 4;12
