OperatorID;Room1;Room2;TravelTime
10;143A01DK 14;144A01DK 14;34
10;144A01DK 14;044A04DK 14;11
10;044A04DK 14;044A04DK 15;6
10;044A04DK 15;044A04DK 16;6
10;044A04DK 16;044A04DK 18;6
10;044A04DK 18;044A04DK 19;7
10;044A04DK 19;194A02DK 19;3
10;194A02DK 19;094A08DK 19;4
11;034A04DK 4;044A05DK 4;9
11;044A05DK 4;044A04DK 4;5
11;044A04DK 4;044A04DK 5;5
11;044A04DK 5;044A04DK 6;6
11;044A04DK 6;044A04DK 7;7
11;044A04DK 7;044A04DK 8;7
11;044A04DK 8;044A04DK 9;7
11;044A04DK 9;094A01DK 9;11
11;094A01DK 9;094A08DK 9;26
11;094A08DK 9;094A02DK 9;13
11;094A02DK 9;095A03DK 9;37
11;095A03DK 9;055A05_1DK 9;10
12;034A04DK 4;044A05DK 4;9
12;044A05DK 4;044A04DK 4;5
12;044A04DK 4;044A04DK 5;5
12;044A04DK 5;044A04DK 6;6
12;044A04DK 6;044A04DK 7;7
12;044A04DK 7;044A04DK 8;7
12;044A04DK 8;044A04DK 9;7
12;044A04DK 9;044A04DK 10;6
12;044A04DK 10;104A01DK 10;11
12;104A01DK 10;044A04DK 10;11
12;044A04DK 10;044A04DK 9;6
12;044A04DK 9;044A04DK 8;7
12;044A04DK 8;044A04DK 7;7
12;044A04DK 7;044A04DK 6;7
12;044A04DK 6;044A04DK 5;6
12;044A04DK 5;044A04DK 4;5
12;044A04DK 4;044A05DK 4;5
12;044A05DK 4;044A12DK 4;12
12;044A12DK 4;044A05DK 4;12
12;044A05DK 4;034A04DK 4;9
12;034A04DK 4;044A29DK 4;9
12;044A29DK 4;024A06DK 4;5
12;024A06DK 4;024A06DK 3;7
12;024A06DK 3;024A06DK 2;7
12;024A06DK 2;024A05DK 2;7
12;024A05DK 2;025A01DK 2;9
12;025A01DK 2;025A05DK 2;7
12;025A05DK 2;015A05DK 2;3
12;015A05DK 2;015A05DK 1;16
12;015A05DK 1;015A04DK 1;3
13;034A04DK 4;044A05DK 4;9
13;044A05DK 4;044A04DK 4;5
13;044A04DK 4;044A04DK 5;5
13;044A04DK 5;044A04DK 6;6
13;044A04DK 6;044A04DK 7;7
13;044A04DK 7;044A04DK 8;7
13;044A04DK 8;044A04DK 9;7
13;044A04DK 9;094A01DK 9;11
13;094A01DK 9;095A03DK 9;37
13;095A03DK 9;095A06DK 9;10
13;095A06DK 9;095A03DK 9;10
13;095A03DK 9;055A05_1DK 9;10
14;034A04DK 4;044A05DK 4;9
14;044A05DK 4;043A03DK 4;30
14;043A03DK 4;013A08DK 4;14
14;013A08DK 4;013A08DK 3;14
14;013A08DK 3;033A05DK 3;5
14;033A05DK 3;013A08DK 3;5
