OperatorID;Room1;Room2;TravelTime
1;034A04DK 4;044A05DK 4;9
1;044A05DK 4;014A03DK 4;9
1;014A03DK 4;014A03DK 3;13
1;014A03DK 3;014A03DK 2;17
1;014A03DK 2;014A03DK 1;16
1;014A03DK 1;014A01DK 1;8
1;014A01DK 1;014A03DK 1;8
1;014A03DK 1;014A03DK 2;16
1;014A03DK 2;014A03DK 3;17
1;014A03DK 3;014A03DK 4;13
1;014A03DK 4;044A05DK 4;9
1;044A05DK 4;044A04DK 4;5
1;044A04DK 4;044A04DK 5;5
1;044A04DK 5;044A04DK 6;6
1;044A04DK 6;044A04DK 7;7
1;044A04DK 7;044A04DK 8;7
1;044A04DK 8;044A04DK 9;7
1;044A04DK 9;094A01DK 9;11
1;094A01DK 9;094A08DK 9;26
2;034A04DK 4;044A05DK 4;9
2;044A05DK 4;044A04DK 4;5
2;044A04DK 4;044A04DK 5;5
2;044A04DK 5;044A04DK 6;6
2;044A04DK 6;044A04DK 7;7
2;044A04DK 7;044A04DK 8;7
2;044A04DK 8;044A04DK 9;7
2;044A04DK 9;094A01DK 9;11
2;094A01DK 9;094A08DK 9;26
2;094A08DK 9;094A02DK 9;13
2;094A02DK 9;093A02DK 9;32
2;093A02DK 9;043A14DK 9;8
2;043A14DK 9;043A14DK 10;5
2;043A14DK 10;043A14DK 11;5
2;043A14DK 11;043A14DK 12;5
2;043A14DK 12;043A14DK 13;5
2;043A14DK 13;043A14DK 14;5
2;043A14DK 14;043A14DK 15;5
2;043A14DK 15;153A10DK 15;2
2;153A10DK 15;093A08DK 15;6
2;093A08DK 15;153A10DK 15;6
2;153A10DK 15;043A14DK 15;2
2;043A14DK 15;043A14DK 14;5
2;043A14DK 14;043A14DK 13;5
2;043A14DK 13;043A14DK 12;5
2;043A14DK 12;043A14DK 11;5
2;043A14DK 11;043A14DK 10;5
2;043A14DK 10;043A14DK 9;5
2;043A14DK 9;043A14DK 8;7
2;043A14DK 8;043A14DK 7;7
2;043A14DK 7;043A14DK 6;6
2;043A14DK 6;053A02DK 6;7
2;053A02DK 6;032A14DK 6;16
2;032A14DK 6;062A01DK 6;16
2;062A01DK 6;061A18DK 6;16
2;061A18DK 6;061A14DK 6;14
2;061A14DK 6;061A07DK 6;12
2;061A07DK 6;061A25DK 6;5
2;061A25DK 6;061A03DK 6;7
3;034A04DK 4;044A05DK 4;9
3;044A05DK 4;044A12DK 4;12
3;044A12DK 4;044A05DK 4;12
3;044A05DK 4;034A04DK 4;9
3;034A04DK 4;044A29DK 4;9
3;044A29DK 4;024A06DK 4;5
3;024A06DK 4;024A06DK 3;7
3;024A06DK 3;024A06DK 2;7
3;024A06DK 2;024A05DK 2;7
3;024A05DK 2;025A01DK 2;9
3;025A01DK 2;025A05DK 2;7
3;025A05DK 2;015A05DK 2;3
3;015A05DK 2;015A05DK 1;16
3;015A05DK 1;015A04DK 1;3
3;015A04DK 1;015A01DK 1;7
3;015A01DK 1;015A04DK 1;7
3;015A04DK 1;015A01DK 1;7
3;015A01DK 1;014A09DK 1;11
3;014A09DK 1;014A05DK 1;9
3;014A05DK 1;014A03DK 1;8
3;014A03DK 1;014A01DK 1;8
3;014A01DK 1;013A10DK 1;2
3;013A10DK 1;013A07DK 1;8
3;013A07DK 1;013A08DK 1;4
3;013A08DK 1;013A08DK 2;17
3;013A08DK 2;013A08DK 3;14
3;013A08DK 3;033A05DK 3;5
4;034A04DK 4;044A05DK 4;9
4;044A05DK 4;043A03DK 4;30
4;043A03DK 4;013A08DK 4;14
4;013A08DK 4;013A08DK 3;14
4;013A08DK 3;033A05DK 3;5
4;033A05DK 3;013A08DK 3;5
4;013A08DK 3;013A08DK 4;14
4;013A08DK 4;043A03DK 4;14
4;043A03DK 4;044A05DK 4;30
4;044A05DK 4;044A04DK 4;5
4;044A04DK 4;044A04DK 5;5
4;044A04DK 5;044A04DK 6;6
4;044A04DK 6;044A04DK 7;7
4;044A04DK 7;044A04DK 8;7
4;044A04DK 8;044A04DK 9;7
4;044A04DK 9;044A04DK 10;6
4;044A04DK 10;044A04DK 11;6
4;044A04DK 11;044A04DK 12;6
4;044A04DK 12;044A04DK 13;6
4;044A04DK 13;044A04DK 14;6
4;044A04DK 14;044A04DK 15;6
4;044A04DK 15;044A04DK 16;6
4;044A04DK 16;044A04DK 18;6
4;044A04DK 18;044A04DK 19;7
4;044A04DK 19;194A02DK 19;3
4;194A02DK 19;094A08DK 19;4
5;034A04DK 4;044A05DK 4;9
5;044A05DK 4;043A03DK 4;30
5;043A03DK 4;013A08DK 4;14
5;013A08DK 4;013A08DK 3;14
5;013A08DK 3;033A05DK 3;5
5;033A05DK 3;013A08DK 3;5
5;013A08DK 3;013A08DK 4;14
5;013A08DK 4;043A03DK 4;14
5;043A03DK 4;044A05DK 4;30
5;044A05DK 4;044A04DK 4;5
5;044A04DK 4;044A04DK 5;5
5;044A04DK 5;044A04DK 6;6
5;044A04DK 6;044A04DK 7;7
5;044A04DK 7;044A04DK 8;7
5;044A04DK 8;044A04DK 9;7
5;044A04DK 9;094A01DK 9;11
5;094A01DK 9;095A03DK 9;37
5;095A03DK 9;095A06DK 9;10
6;034A04DK 4;044A05DK 4;9
6;044A05DK 4;044A12DK 4;12
6;044A12DK 4;044A05DK 4;12
6;044A05DK 4;043A03DK 4;30
6;043A03DK 4;013A08DK 4;14
6;013A08DK 4;013A08DK 3;14
6;013A08DK 3;033A05DK 3;5
6;033A05DK 3;013A08DK 3;5
6;013A08DK 3;013A08DK 4;14
6;013A08DK 4;043A03DK 4;14
6;043A03DK 4;043A14DK 4;15
6;043A14DK 4;043A14DK 5;6
6;043A14DK 5;043A14DK 6;6
6;043A14DK 6;043A14DK 7;6
6;043A14DK 7;043A14DK 8;7
6;043A14DK 8;043A14DK 9;7
6;043A14DK 9;043A14DK 10;5
