OperatorID;Room1;Room2;TravelTime
1;034A04DK 4;044A05DK 4;9
1;044A05DK 4;014A03DK 4;9
1;014A03DK 4;014A03DK 3;13
1;014A03DK 3;014A03DK 2;17
1;014A03DK 2;014A03DK 1;16
1;014A03DK 1;014A01DK 1;8
1;014A01DK 1;013A10DK 1;2
1;013A10DK 1;013A07DK 1;8
1;013A07DK 1;013A07DK 2;14
1;013A07DK 2;013A07DK 3;17
1;013A07DK 3;013A07DK 4;13
1;013A07DK 4;043A03DK 4;19
1;043A03DK 4;032A14DK 4;12
1;032A14DK 4;042A12DK 4;3
1;042A12DK 4;092A04DK 4;7
1;092A04DK 4;042A12DK 4;7
1;042A12DK 4;032A14DK 4;3
1;032A14DK 4;032A04DK 4;22
1;032A04DK 4;041A17DK 4;15
1;041A17DK 4;031A21DK 4;6
1;031A21DK 4;031A21DK 5;6
1;031A21DK 5;031A21DK 6;8
1;031A21DK 6;031A21DK 7;8
1;031A21DK 7;031A21DK 8;8
1;031A21DK 8;031A21DK 9;8
1;031A21DK 9;031A21DK 10;7
1;031A21DK 10;031A21DK 11;7
1;031A21DK 11;111A01DK 11;12
1;111A01DK 11;091A06DK 11;6
1;091A06DK 11;111A01DK 11;6
1;111A01DK 11;031A21DK 11;12
1;031A21DK 11;031A21DK 12;7
1;031A21DK 12;031A21DK 13;7
1;031A21DK 13;031A21DK 14;7
1;031A21DK 14;031A21DK 15;7
1;031A21DK 15;151A01DK 15;12
1;151A01DK 15;091A06DK 15;6
1;091A06DK 15;151A01DK 15;6
1;151A01DK 15;031A21DK 15;12
1;031A21DK 15;031A21DK 14;7
1;031A21DK 14;141A05DK 14;12
1;141A05DK 14;091A06DK 14;7
2;034A04DK 4;044A05DK 4;9
2;044A05DK 4;014A02DK 4;7
2;014A02DK 4;014A02DK 3;15
2;014A02DK 3;034A02DK 3;8
2;034A02DK 3;014A02DK 3;8
2;014A02DK 3;014A02DK 4;15
2;014A02DK 4;044A05DK 4;7
2;044A05DK 4;044A04DK 4;5
2;044A04DK 4;044A04DK 5;5
2;044A04DK 5;044A04DK 6;6
2;044A04DK 6;044A04DK 7;7
2;044A04DK 7;044A04DK 8;7
2;044A04DK 8;044A04DK 9;7
2;044A04DK 9;094A01DK 9;11
2;094A01DK 9;095A03DK 9;37
2;095A03DK 9;096A01DK 9;34
2;096A01DK 9;056A03DK 9;8
2;056A03DK 9;096A01DK 9;8
2;096A01DK 9;026A04DK 9;16
2;026A04DK 9;026A04DK 8;8
2;026A04DK 8;026A04DK 7;10
2;026A04DK 7;026A04DK 6;11
2;026A04DK 6;026A04DK 5;8
2;026A04DK 5;026A04DK 4;7
2;026A04DK 4;046A24DK 4;8
2;046A24DK 4;046A22DK 4;8
2;046A22DK 4;045A17DK 4;14
2;045A17DK 4;045A04DK 4;20
2;045A04DK 4;045A17DK 4;20
2;045A17DK 4;045A05DK 4;9
2;045A05DK 4;045A17DK 4;9
2;045A17DK 4;025A02DK 4;27
2;025A02DK 4;025A02DK 5;9
2;025A02DK 5;055A04DK 5;2
2;055A04DK 5;055A05DK 5;15
3;034A04DK 4;044A05DK 4;9
3;044A05DK 4;043A03DK 4;30
3;043A03DK 4;093A08DK 4;8
3;093A08DK 4;043A03DK 4;8
3;043A03DK 4;032A14DK 4;12
3;032A14DK 4;042A12DK 4;3
3;042A12DK 4;092A04DK 4;7
3;092A04DK 4;042A12DK 4;7
3;042A12DK 4;032A14DK 4;3
3;032A14DK 4;043A03DK 4;12
3;043A03DK 4;044A05DK 4;30
3;044A05DK 4;014A02DK 4;7
3;014A02DK 4;014A02DK 3;15
3;014A02DK 3;034A02DK 3;8
3;034A02DK 3;014A02DK 3;8
3;014A02DK 3;014A02DK 4;15
3;014A02DK 4;044A05DK 4;7
3;044A05DK 4;044A04DK 4;5
3;044A04DK 4;044A04DK 5;5
3;044A04DK 5;054A04DK 5;9
3;054A04DK 5;044A04DK 5;9
3;044A04DK 5;054A01DK 5;12
3;054A01DK 5;025A02DK 5;20
3;025A02DK 5;055A04DK 5;2
3;055A04DK 5;055A05DK 5;15
4;034A04DK 4;044A29DK 4;9
4;044A29DK 4;024A06DK 4;5
4;024A06DK 4;025A02DK 4;13
4;025A02DK 4;025A02DK 5;9
4;025A02DK 5;025A02DK 6;11
4;025A02DK 6;025A02DK 7;11
4;025A02DK 7;025A02DK 8;11
4;025A02DK 8;085A04DK 8;16
4;085A04DK 8;086A01DK 8;33
4;086A01DK 8;026A09DK 8;10
4;026A09DK 8;086A12DK 8;3
4;086A12DK 8;086A10DK 8;3
4;086A10DK 8;086A12DK 8;3
4;086A12DK 8;026A09DK 8;3
4;026A09DK 8;086A01DK 8;10
4;086A01DK 8;026A04DK 8;12
4;026A04DK 8;026A04DK 9;8
4;026A04DK 9;026A04DK 10;7
4;026A04DK 10;026A04DK 11;7
4;026A04DK 11;026A04DK 12;7
4;026A04DK 12;026A04DK 13;7
4;026A04DK 13;026A04DK 14;7
4;026A04DK 14;026A04DK 15;7
4;026A04DK 15;026A04DK 16;7
4;026A04DK 16;026A04DK 18;8
4;026A04DK 18;026A04DK 19;7
4;026A04DK 19;196A01DK 19;59
4;196A01DK 19;205A05DK 20;46
5;034A04DK 4;044A05DK 4;9
5;044A05DK 4;044A07DK 4;10
5;044A07DK 4;044A05DK 4;10
5;044A05DK 4;044A04DK 4;5
5;044A04DK 4;044A04DK 5;5
5;044A04DK 5;044A04DK 6;6
5;044A04DK 6;044A04DK 7;7
5;044A04DK 7;044A04DK 8;7
5;044A04DK 8;044A04DK 9;7
5;044A04DK 9;094A01DK 9;11
5;094A01DK 9;094A08DK 9;26
5;094A08DK 9;094A02DK 9;13
5;094A02DK 9;095A03DK 9;37
5;095A03DK 9;055A05_1DK 9;10
5;055A05_1DK 9;095A03DK 9;10
5;095A03DK 9;096A01DK 9;34
